SaleID,price
200000,1261.1965
200001,1907.4065
200002,8994.441
200003,1322.0009
200004,2001.5262
200005,1112.6791
200006,434.1963
200007,3397.918
200008,12912.017
200009,601.85583
200010,677.5205
200011,2787.0771
200012,6117.389
200013,7656.0854
200014,1355.7991
200015,255.02487
200016,1747.0312
200017,8494.013
200018,6916.1787
200019,876.0186
200020,24565.04
200021,8087.843
200022,1956.6204
200023,1535.4839
200024,980.50214
200025,7899.4336
200026,529.7292
200027,12334.593
200028,4061.7625
200029,7956.0786
200030,18252.242
200031,13560.7705
200032,613.83984
200033,14924.301
200034,840.1692
200035,1949.1003
200036,13937.7295
200037,5916.5264
200038,1568.1649
200039,374.891
200040,593.7718
200041,22575.324
200042,452.81696
200043,6381.9624
200044,19003.543
200045,508.94482
200046,15110.353
200047,17841.918
200048,2234.655
200049,3133.0623
200050,717.9336
200051,4397.056
200052,2973.1223
200053,515.3735
200054,13029.005
200055,11074.323
200056,4876.5435
200057,3449.2585
200058,861.43884
200059,5324.837
200060,8420.037
200061,1117.031
200062,5677.6313
200063,8252.675
200064,1305.9822
200065,1654.3835
200066,509.7387
200067,10409.052
200068,210.81065
200069,17174.258
200070,9038.731
200071,355.89053
200072,6540.1562
200073,17848.162
200074,4732.371
200075,10912.637
200076,2993.2854
200077,350.60992
200078,357.14813
200079,2956.717
200080,3136.6045
200081,2133.784
200082,3976.4702
200083,413.83115
200084,1266.73
200085,1377.0547
200086,7411.9707
200087,3448.7615
200088,2568.6924
200089,41287.85
200090,2687.9973
200091,227.46187
200092,1491.2429
200093,16649.865
200094,6649.245
200095,6035.2275
200096,2487.0408
200097,1200.4849
200098,439.2431
200099,29291.447
200100,21192.729
200101,7329.8135
200102,1853.0951
200103,10750.78
200104,5869.8447
200105,4527.5273
200106,8196.71
200107,2280.3562
200108,14029.643
200109,7702.0776
200110,643.869
200111,1906.5764
200112,1798.5814
200113,913.41736
200114,2386.269
200115,1212.1238
200116,14563.456
200117,15769.608
200118,69739.14
200119,191.42436
200120,3067.5134
200121,2575.9106
200122,695.65344
200123,2544.8704
200124,58247.453
200125,679.401
200126,3013.0322
200127,16373.629
200128,1645.0231
200129,6042.13
200130,3876.1914
200131,2606.0803
200132,1530.0518
200133,3128.3286
200134,1430.71
200135,2786.4148
200136,3988.9617
200137,706.8085
200138,10099.968
200139,6747.0713
200140,2747.2656
200141,1477.9141
200142,6571.2803
200143,6286.6543
200144,1480.185
200145,6670.583
200146,2610.962
200147,4487.9785
200148,3126.4336
200149,199.71443
200150,11039.72
200151,4797.985
200152,658.49335
200153,492.7081
200154,8113.9634
200155,2460.6853
200156,16222.442
200157,8433.724
200158,10429.987
200159,11.0
200160,6928.715
200161,7199.5557
200162,6940.5747
200163,1452.7732
200164,16809.844
200165,15601.194
200166,24477.188
200167,3980.0076
200168,35223.04
200169,692.1533
200170,2455.5369
200171,8910.066
200172,1998.8442
200173,37563.586
200174,717.1688
200175,2515.266
200176,8986.71
200177,6153.6357
200178,5451.227
200179,3912.0598
200180,943.69965
200181,19180.258
200182,4805.117
200183,1694.8091
200184,2388.4812
200185,4500.465
200186,3669.6099
