SaleID,price
200000,702.27637
200001,1120.2665
200002,5311.1743
200003,841.83575
200004,1384.4662
200005,1036.1163
200006,305.8122
200007,2362.5835
200008,7992.976
200009,455.9961
200010,507.57632
200011,1655.8217
200012,3475.4998
200013,5181.795
200014,1643.8407
200015,176.94498
200016,1082.0365
200017,4928.0674
200018,4999.1636
200019,424.17343
200020,15832.269
200021,5121.3853
200022,1592.5983
200023,904.06506
200024,517.68134
200025,5124.1943
200026,538.6492
200027,8390.069
200028,2998.7205
200029,5225.0635
200030,12148.349
200031,6722.469
200032,405.51205
200033,9074.245
200034,537.9059
200035,1174.9167
200036,9435.148
200037,4638.0776
200038,865.6782
200039,215.17229
200040,419.48407
200041,14125.359
200042,263.92834
200043,5449.4414
200044,12063.613
200045,506.77213
200046,10787.363
200047,11021.477
200048,1665.9397
200049,2046.0448
200050,534.0871
200051,2800.355
200052,1836.185
200053,265.01422
200054,7359.1504
200055,6038.567
200056,4542.708
200057,2363.8794
200058,786.62305
200059,3389.6313
200060,4980.6855
200061,1035.5205
200062,3593.2466
200063,6349.2217
200064,1002.4812
200065,1310.7189
200066,394.00214
200067,6784.148
200068,173.59552
200069,12176.747
200070,5806.832
200071,200.77371
200072,3512.426
200073,11734.759
200074,2707.9778
200075,8724.37
200076,1778.7953
200077,252.87634
200078,293.02243
200079,1847.9869
200080,2303.8723
200081,1267.8312
200082,3088.8105
200083,330.58783
200084,762.89374
200085,1117.6136
200086,4442.579
200087,2047.0298
200088,1597.1831
200089,24256.857
200090,1778.0896
200091,191.75934
200092,1564.5529
200093,11673.332
200094,4822.2666
200095,3644.1929
200096,1659.1069
200097,844.90234
200098,260.0492
200099,12750.719
200100,15560.985
200101,5345.0195
200102,1124.836
200103,6858.2725
200104,3490.6787
200105,2018.1437
200106,6116.4097
200107,1068.4635
200108,8016.7905
200109,5002.31
200110,615.4625
200111,1049.4005
200112,1186.8903
200113,474.98312
200114,1368.6442
200115,900.62695
200116,8942.368
200117,9801.477
200118,43461.062
200119,215.17229
200120,2111.597
200121,2035.4333
200122,456.62872
200123,1436.0226
200124,33225.8
200125,502.4837
200126,2220.9858
200127,9385.742
200128,1008.70593
200129,3644.1929
200130,2376.3875
